,City Name,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,chara,56.91,118.26,57.49,66,100,5.19,RU,1595299548
1,ayan,56.45,138.17,52.38,94,100,15.39,RU,1595299548
2,tiznit,29.58,-9.5,71.1,52,1,1.77,MA,1595299549
3,hithadhoo,-0.6,73.08,84.02,77,100,11.52,MV,1595299549
4,loandjili,-4.76,11.86,71.33,89,39,2.55,CG,1595299549
6,aklavik,68.22,-135.01,48.2,70,75,5.82,CA,1595299326
7,candido mendes,-1.45,-45.72,72.5,92,2,1.41,BR,1595299549
8,swan hill,-35.34,143.55,56.66,52,47,7.65,AU,1595299549
9,guano,-1.58,-78.63,46.72,84,83,2.71,EC,1595299549
10,albany,42.6,-73.97,78.01,87,3,4.76,US,1595299549
11,tombouctou,20,-3,96.1,26,36,2.86,ML,1595299550
12,dudinka,69.41,86.18,51.8,100,75,8.95,RU,1595299550
13,mar del plata,-38,-57.56,51.01,100,90,23.04,AR,1595299550
14,rikitea,-23.12,-134.97,67.21,72,88,18.63,PF,1595299550
15,lebu,-37.62,-73.65,50.63,84,100,12.39,CL,1595299550
16,iqaluit,63.75,-68.51,42.8,100,90,2.73,CA,1595299550
17,cidreira,-30.18,-50.21,65.35,82,55,5.03,BR,1595299551
18,castro,-24.79,-50.01,54.79,80,9,3.96,BR,1595299551
19,arraial do cabo,-22.97,-42.03,70.45,84,0,18.14,BR,1595299551
20,kommunisticheskiy,61.68,64.48,63.52,57,0,4.12,RU,1595299551
21,berezovyy,51.67,135.7,63,93,100,3.4,RU,1595299551
22,bluff,-46.6,168.33,52.02,77,97,6.38,NZ,1595299551
23,ola,59.58,151.28,64.42,61,2,6.73,RU,1595299463
24,padang,-0.95,100.35,86,70,20,3.36,ID,1595299551
25,tangua,-22.73,-42.71,71.6,88,0,2.24,BR,1595299551
26,camacha,33.08,-16.33,69.8,73,40,14.99,PT,1595299551
27,klyuchi,52.27,79.17,73.8,69,61,12.12,RU,1595299551
28,lodja,-3.48,23.43,68.4,50,0,1.32,CD,1595299552
29,vila velha,-20.33,-40.29,68,94,40,3.36,BR,1595299552
30,araouane,18.9,-3.53,95.68,28,73,13.8,ML,1595299552
31,sao filipe,14.9,-24.5,75.85,83,45,9.8,CV,1595299552
32,hermanus,-34.42,19.23,56.88,67,3,6.78,ZA,1595299552
34,ferrol,43.48,-8.24,64.99,82,90,6.93,ES,1595299552
35,lavrentiya,65.58,-171,46.83,77,100,4.83,RU,1595299553
36,san jeronimo,-11.95,-75.28,46.49,62,0,1.41,PE,1595299553
37,saint-philippe,-21.36,55.77,66.2,63,90,6.93,RE,1595299553
38,markova,48.68,24.41,57.61,88,72,5.68,UA,1595299553
39,tuatapere,-46.13,167.68,51.28,74,75,7.49,NZ,1595299553
41,oyama,36.3,139.8,82,78,75,3.36,JP,1595299553
43,port alfred,-33.59,26.89,57.67,68,0,3.6,ZA,1595299553
44,cape town,-33.93,18.42,51.8,81,0,10.29,ZA,1595299362
45,husavik,66.04,-17.34,41,100,20,1.12,IS,1595299553
46,busselton,-33.65,115.33,63,46,100,18.63,AU,1595299554
47,hilo,19.73,-155.09,84.2,58,40,10.29,US,1595298881
48,dikson,73.51,80.55,39.79,95,100,12.75,RU,1595299554
49,upernavik,72.79,-56.15,46.99,57,54,7.07,GL,1595299554
50,buckeye,33.37,-112.58,102.2,22,1,9.93,US,1595299382
53,makuyuni,-4.73,38.1,62.33,84,69,4.07,TZ,1595299554
54,barrow,71.29,-156.79,33.8,86,90,5.82,US,1595299554
56,pontianak,-0.03,109.33,87.75,63,3,2.26,ID,1595299554
57,qaanaaq,77.48,-69.36,45.93,70,51,1.32,GL,1595299554
58,ushuaia,-54.8,-68.3,28.4,100,0,5.82,AR,1595299341
59,coihaique,-45.58,-72.07,33.8,87,90,4.7,CL,1595299555
61,hobart,-42.88,147.33,57.2,54,75,10.29,AU,1595299327
62,puerto baquerizo moreno,-0.9,-89.6,68.41,83,99,14.58,EC,1595299555
63,jackson,42.42,-122.83,98.6,22,1,13.87,US,1595299555
64,jalu,29.03,21.55,73.24,60,0,9.04,LY,1595299555
65,ust-ilimsk,58,102.66,72.01,34,0,0.85,RU,1595299555
66,kem,64.96,34.58,61.88,67,55,5.44,RU,1595299555
